--------- beginning of crash
06-12 23:12:35.588 F/linker  (19094): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:12:42.524 W/System.err(19139): 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:957)
06-12 23:12:42.524 W/System.err(19139): 	at android.os.Handler.handleCallback(Handler.java:938)
06-12 23:12:42.524 W/System.err(19139): 	at android.os.Handler.dispatchMessage(Handler.java:99)
06-12 23:12:42.524 W/System.err(19139): 	at android.os.Looper.loop(Looper.java:223)
06-12 23:12:42.524 W/System.err(19139): 	at android.app.ActivityThread.main(ActivityThread.java:7664)
06-12 23:12:42.524 W/System.err(19139): 	at java.lang.reflect.Method.invoke(Native Method)
06-12 23:12:42.524 W/System.err(19139): 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
06-12 23:12:42.524 W/System.err(19139): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:952)
06-12 23:12:42.530 W/System.err(19139): java.lang.IllegalArgumentException: width and height must be > 0
06-12 23:12:42.531 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:1113)
06-12 23:12:42.531 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:1080)
06-12 23:12:42.531 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:1030)
06-12 23:12:42.531 W/System.err(19139): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:991)
06-12 23:12:42.531 W/System.err(19139): 	at com.hotstar.feature.login.profile.customview.CircleImageView.c(SourceFile:46)
06-12 23:12:42.531 W/System.err(19139): 	at com.hotstar.feature.login.profile.customview.CircleImageView.setImageDrawable(SourceFile:4)
06-12 23:12:42.531 W/System.err(19139): 	at coil.target.ImageViewTarget.f(SourceFile:3)
06-12 23:12:42.531 W/System.err(19139): 	at coil.target.GenericViewTarget.h(SourceFile:19)
06-12 23:12:42.531 W/System.err(19139): 	at coil.target.GenericViewTarget.c(SourceFile:1)
06-12 23:12:42.531 W/System.err(19139): 	at coil.RealImageLoader.c(SourceFile:255)
06-12 23:12:42.531 W/System.err(19139): 	at coil.RealImageLoader$enqueue$job$1.invokeSuspend(SourceFile:32)
06-12 23:12:42.531 W/System.err(19139): 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(SourceFile:9)
06-12 23:12:42.531 W/System.err(19139): 	at Yg.i.a(SourceFile:129)
06-12 23:12:42.531 W/System.err(19139): 	at S3.A.s(SourceFile:11)
06-12 23:12:42.532 W/System.err(19139): 	at kotlinx.coroutines.a.p0(SourceFile:81)
06-12 23:12:42.532 W/System.err(19139): 	at kotlinx.coroutines.d.a(SourceFile:18)
06-12 23:12:42.532 W/System.err(19139): 	at coil.RealImageLoader.b(SourceFile:10)
06-12 23:12:42.532 W/System.err(19139): 	at coil.request.ViewTargetRequestManager.onViewAttachedToWindow(SourceFile:13)
06-12 23:12:42.532 W/System.err(19139): 	at android.view.View.dispatchAttachedToWindow(View.java:20490)
06-12 23:12:42.532 W/System.err(19139): 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3496)
